Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
El amigo de la que paga,NFANDROID2-PRV-SABRINA-GOOGLCHROMECAST-21670-A338B787ACE07206419C58E19AAEA5CD6DFC4C8C0C57388DDE39CB24B92518E5,Google Sabrina ATV Set Top Box,2022-12-02T02:20:30.852Z,2023-04-17T01:00:58.623Z,2022-12-02T02:59:14.567Z,2023-04-17T01:00:58.623Z,2023-02-24T22:26:07.603Z,2023-02-24T22:26:35.360Z,2023-02-24T22:26:35.360Z,2023-02-24T22:26:35.360Z,
El amigo de la que paga,NFAPPL-02-IPHONE13=1-99B54E830886E61A52C63401ADB27E0E493D14E2D6826B5DF14D40F106EEFCF7,iPhone 12 Mini,2022-01-10T00:04:39.359Z,2023-02-24T02:21:46.552Z,2022-01-10T00:04:39.359Z,2023-02-24T02:03:13.772Z,2022-01-10T00:04:39.359Z,2023-02-24T02:21:46.552Z,2022-01-10T00:04:39.359Z,2023-02-24T02:03:13.772Z,
El amigo de la que paga,NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,DefaultWidevineAndroidPhone,2022-10-05T22:41:09.798Z,2023-08-01T23:41:44.627Z,2022-10-05T22:41:09.798Z,2023-08-01T23:41:44.627Z,2023-02-06T16:59:13.585Z,2023-02-06T17:58:00.020Z,2023-02-06T16:59:13.585Z,2023-02-06T17:58:00.020Z,
La tia de la que paga,NFANDROID1-PRV-P-OPPO=CPH2365-21002-C3B58A020997B1129732BFD08F1B4F8CF68D106F8427D3186AD0E70E6D9FCD11,DefaultWidevineAndroidPhone,2022-12-16T02:34:37.836Z,2023-07-06T22:01:23.214Z,2022-12-16T02:34:37.836Z,2023-07-06T22:01:23.214Z,2022-12-16T02:34:37.836Z,2023-01-23T21:48:23.054Z,2022-12-16T02:34:37.836Z,2023-01-23T21:48:23.054Z,
La tia de la que paga,RKU-8XXXX-YK00PM570078,Roku Midland Smart TV,2021-06-20T22:09:45.516Z,2022-12-30T06:59:27.420Z,2021-06-20T22:10:36.774Z,2022-12-30T06:34:52.102Z,2021-06-20T22:09:45.516Z,2022-12-30T06:59:27.420Z,2021-06-20T22:10:36.774Z,2022-12-30T06:34:52.102Z,
La tia de la que paga,NFANDROID1-PRV-T-LENOVTB328FU-23984-6ED2D5BFF9E6ECA1110D7300E961CC09DDF10FED7F3C120343CC798AF1DD2764,DefaultWidevineAndroidTablets,2022-12-21T00:59:06.312Z,2022-12-26T18:41:29.974Z,2022-12-21T00:59:06.312Z,2022-12-26T18:41:29.974Z,2022-12-21T00:59:06.312Z,2022-12-26T18:41:29.974Z,2022-12-21T00:59:06.312Z,2022-12-26T18:41:29.974Z,
El amigo de la que paga,GOOGCAP0010000000000000011265940,Google Chromecast V5 Streaming Stick,2022-12-09T07:09:27.744Z,2022-12-10T17:06:07.907Z,2022-12-09T07:09:27.744Z,2022-12-10T17:06:07.907Z,2022-12-09T07:09:27.744Z,2022-12-10T17:06:07.907Z,2022-12-09T07:09:27.744Z,2022-12-10T17:06:07.907Z,
El amigo de la que paga,NFANDROID2-PRV-SONYANDROIDTV2022M5-SONY=BRAVIA=4K=VH21-22653-77194191D8A3CD01361C3AD3BCED879B005290BFF12983F9F36EE6CB98680010,Sony CE Sony Android TV 2022 M5 Smart TV,2022-10-14T03:16:20.772Z,2022-10-16T22:32:14.539Z,2022-10-14T03:16:20.772Z,2022-10-16T22:32:14.539Z,2022-10-14T03:16:20.772Z,2022-10-16T22:32:14.539Z,2022-10-14T03:16:20.772Z,2022-10-16T22:32:14.539Z,
El amigo de la que paga,CMCSTX1005-000C010D032A5D54-704FB8760EA3,Comcast X1 ARM 4K MVPD STB,2022-10-14T03:37:06.800Z,2022-10-14T04:07:42.676Z,2022-10-14T03:37:06.800Z,2022-10-14T04:07:42.676Z,2022-10-14T03:37:06.800Z,2022-10-14T04:07:42.676Z,2022-10-14T03:37:06.800Z,2022-10-14T04:07:42.676Z,
La tia de la que paga,NFANDROID1-PRV-P-HUAWEHMA-L09-8359-095783A2965424F98A1CD42088046DA69BA931135B9B4702AA32B3F56C23D97F2,DefaultWidevineAndroidPhone,2021-06-20T22:09:35.416Z,2022-10-13T23:21:31.164Z,2021-06-20T22:09:35.416Z,2022-10-13T23:21:31.164Z,2021-06-20T22:09:35.416Z,2022-10-13T23:21:31.164Z,2021-06-20T22:09:35.416Z,2022-10-13T23:21:31.164Z,
La tia de la que paga,NFANDROID1-PRV-P-OPPO=CPH2205-19879-0A07480E1945D67CD7396BF1D17709F6EAF1A4632CB8B21754DEE911F64BECFE9,DefaultWidevineAndroidPhone,2022-01-31T05:49:37.183Z,2022-10-04T23:44:12.175Z,2022-01-31T05:49:37.183Z,2022-10-04T23:44:12.175Z,2022-01-31T05:49:37.183Z,2022-10-04T23:44:12.175Z,2022-01-31T05:49:37.183Z,2022-10-04T23:44:12.175Z,
El amigo de la que paga,NFCDCH-01-HZT7VZE7Y4Q0YV5UXWEMKLQ2GDN6LV,Chrome OS (Cadmium),2022-02-04T03:40:25.507Z,2022-09-30T21:32:19.191Z,2022-02-04T03:40:57.742Z,2022-09-30T21:32:19.191Z,2022-02-04T03:40:25.507Z,2022-09-30T21:32:19.191Z,2022-02-04T03:40:57.742Z,2022-09-30T21:32:19.191Z,
El amigo de la que paga,NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-BA5BB74BAE012DD8682C4AAFE5572B87FFADD7AA1543BC9A8BC95686CE0FC909,FireTV Stick 2016,2021-11-27T05:35:27.556Z,2022-05-13T06:52:51.068Z,2021-11-27T05:38:48.604Z,2022-05-13T06:52:51.068Z,2021-11-27T05:35:27.556Z,2022-05-13T06:52:51.068Z,2021-11-27T05:38:48.604Z,2022-05-13T06:52:51.068Z,
La tia de la que paga,NFUWA-001-242A2A2081FED280AB4C71CE2B688AB82D2673F949E87D7236AA6499509E0A628CEF91E9C29902E73357152783A85AA49B90F2999D2E26AC0F54F13DF44A85DF,Netflix Windows App - Cadmium Windows Mobile,2022-03-30T03:58:29.787Z,2022-03-30T04:31:46.696Z,2022-03-30T03:58:29.787Z,2022-03-30T04:31:46.696Z,2022-03-30T03:58:29.787Z,2022-03-30T04:31:46.696Z,2022-03-30T03:58:29.787Z,2022-03-30T04:31:46.696Z,
