Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
La que paga,Season 1 Trailer: Top Secret UFO Projects: Declassified,Google Sabrina ATV Set Top Box,2023-07-29 01:50:53,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3435,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3674,""mediaOffsetMs"":84},{""eventType"":""stopped"",""sessionOffsetMs"":5073,""mediaOffsetMs"":84}]"
La que paga,Informative Clip 2: Get Smart With Money,Google Sabrina ATV Set Top Box,2023-07-29 01:50:49,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2732,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3680,""mediaOffsetMs"":579},{""eventType"":""stopped"",""sessionOffsetMs"":5667,""mediaOffsetMs"":579}]"
La que paga,Season 2 Trailer: Catching Killers: Season 2,Google Sabrina ATV Set Top Box,2023-07-29 01:50:43,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":20},{""eventType"":""stopped"",""sessionOffsetMs"":1132,""mediaOffsetMs"":20}]"
La que paga,Cliffhanger Clip: King of Clones,Google Sabrina ATV Set Top Box,2023-07-29 01:50:42,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2062,""mediaOffsetMs"":0}]"
La que paga,Season 1 Informative Clip 3: MerPeople,Google Sabrina ATV Set Top Box,2023-07-29 01:50:41,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1826,""mediaOffsetMs"":0}]"
La que paga,Moment of High Emotion Clip: Unknown: Killer Robots,Google Sabrina ATV Set Top Box,2023-07-29 01:50:39,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2496,""mediaOffsetMs"":0}]"
La que paga,Informative Clip 3: The Deepest Breath,Google Sabrina ATV Set Top Box,2023-07-29 01:50:35,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2377,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2587,""mediaOffsetMs"":73},{""eventType"":""stopped"",""sessionOffsetMs"":4068,""mediaOffsetMs"":73}]"
La que paga,Trailer: Unknown: Cosmic Time Machine,Google Sabrina ATV Set Top Box,2023-07-29 01:50:31,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1850,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":4598,""mediaOffsetMs"":2526},{""eventType"":""stopped"",""sessionOffsetMs"":6166,""mediaOffsetMs"":2526}]"
La que paga,Trailer: The Lady of Silence: The Mataviejitas Murders,Google Sabrina ATV Set Top Box,2023-07-29 01:50:29,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2514,""mediaOffsetMs"":0}]"
La que paga,Season 1 Cliffhanger Clip: How to Become a Cult Leader,Google Sabrina ATV Set Top Box,2023-07-29 01:50:25,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3884,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":4073,""mediaOffsetMs"":80},{""eventType"":""stopped"",""sessionOffsetMs"":5459,""mediaOffsetMs"":80}]"
La que paga,Insecure: Season 1_hook_02_16x9,Google Sabrina ATV Set Top Box,2023-07-29 01:50:07,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3050,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3278,""mediaOffsetMs"":98},{""eventType"":""stopped"",""sessionOffsetMs"":6908,""mediaOffsetMs"":98}]"
La que paga,Informative Clip: Unknown: Cave of Bones,Google Sabrina ATV Set Top Box,2023-07-29 01:50:06,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1463,""mediaOffsetMs"":0}]"
La que paga,Limited Series Informative Clip: Working: What We Do All Day,Google Sabrina ATV Set Top Box,2023-07-29 01:50:05,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1598,""mediaOffsetMs"":0}]"
La que paga,Season 6 Supporting Character Clip 2: Big Mouth,Google Sabrina ATV Set Top Box,2023-07-29 01:50:03,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2385,""mediaOffsetMs"":0}]"
La que paga,Season 6 Character Intro Clip: Selling Sunset,Google Sabrina ATV Set Top Box,2023-07-29 01:50:02,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2848,""mediaOffsetMs"":0}]"
La que paga,Season 3 Teaser 1: You,Google Sabrina ATV Set Top Box,2023-07-29 01:50:00,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1543,""mediaOffsetMs"":0}]"
La que paga,Outlander: Season 2_hook_primary_16x9,Google Sabrina ATV Set Top Box,2023-07-29 01:49:56,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2237,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3221,""mediaOffsetMs"":702},{""eventType"":""stopped"",""sessionOffsetMs"":5277,""mediaOffsetMs"":702}]"
La que paga,Season 1 Character Intro Clip: Queens,Google Sabrina ATV Set Top Box,2023-07-29 01:49:52,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2126,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":4353,""mediaOffsetMs"":2010},{""eventType"":""stopped"",""sessionOffsetMs"":5958,""mediaOffsetMs"":2010}]"
La que paga,Insecure: Season 1_hook_02_16x9,Google Sabrina ATV Set Top Box,2023-07-29 01:49:48,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2354,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":4359,""mediaOffsetMs"":1823},{""eventType"":""stopped"",""sessionOffsetMs"":5906,""mediaOffsetMs"":1823}]"
