Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
La que paga,MX,Android Phone,0,buddha,The Buddha: The Story of Siddhartha,select,,
La que paga,MX,Android Phone,0,buddha,Little Buddha,select,,
La que paga,US,iPhone,0,kimm,,select,,
La que paga,US,HTML 5,0,ugly delicious,,play,,
La que paga,US,iPhone,0,avatar,,select,,
La que paga,US,HTML 5,0,goop,,select,,
La que paga,US,iPhone,0,goop,,select,,
La que paga,US,Streaming Stick,0,the notebook,The Notebook,play,,
La que paga,US,iPhone,0,self,,select,,
La que paga,US,iPhone,0,dmt the spi,DMT: The Spirit Molecule,select,,
La que paga,US,HTML 5,0,ugly delicious,,select,,
La que paga,US,HTML 5,0,pokemon ,Pokémon: Mewtwo Strikes Back - Evolution,play,,
La que paga,US,Streaming Stick,0,the notebook,The Notebook,select,,
El amigo de la que paga,US,Smart TV,0,e,Extraction,play,title_results,2023-06-29 06:13:56
El amigo de la que paga,US,Smart TV,0,e,Extraction,select,title_results,2023-06-29 06:13:52
El amigo de la que paga,US,iPhone,0,,,play,prequery_results,2023-04-29 17:26:16
El amigo de la que paga,US,iPhone,0,,,select,prequery_results,2023-04-29 17:26:14
El amigo de la que paga,US,iPhone,0,,,play,prequery_results,2023-04-29 17:23:13
El amigo de la que paga,US,iPhone,0,,,select,prequery_results,2023-04-29 17:23:10
El amigo de la que paga,US,Smart TV,0,som,,play,title_results,2023-04-12 03:48:06
El amigo de la que paga,US,Smart TV,0,som,,select,title_results,2023-04-12 03:47:53
El amigo de la que paga,US,iPhone,0,trial 4,,select,title_results,2023-03-31 04:45:02
El amigo de la que paga,US,Smart TV,0,hung,The Hunger Games: Mockingjay - Part 2,play,title_results,2023-03-25 18:41:40
El amigo de la que paga,US,Smart TV,0,hung,The Hunger Games: Mockingjay - Part 2,select,title_results,2023-03-25 18:41:38
El amigo de la que paga,US,Smart TV,0,,The Hunger Games,play,prequery_results,2023-03-19 22:42:37
El amigo de la que paga,US,Smart TV,0,,The Hunger Games,select,prequery_results,2023-03-19 22:42:35
El amigo de la que paga,US,Smart TV,0,je,,play,title_results,2023-03-09 02:13:50
El amigo de la que paga,US,Smart TV,0,je,,select,title_results,2023-03-09 02:13:48
El amigo de la que paga,US,Smart TV,0,rey,,play,title_results,2023-02-24 14:36:29
El amigo de la que paga,US,Smart TV,0,rey,,select,title_results,2023-02-24 14:36:27
El amigo de la que paga,US,Xbox One,0,geo,George Lopez: Why You Crying?,play,title_results,2023-02-23 05:03:17
