Esn,Localized Device Description,Device Description,Ip,Country,Region Code Display Name,Near Location,Ts
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,187.214.40.236,MX,Morelos,CUERNAVACA,2022-10-07 22:52:58
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,187.214.40.177,MX,Morelos,TEMIXCO,2022-12-22 05:07:43
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:708d:ad59:c8df:7eb4:284b,MX,Morelos,MEXQUEMECA,2023-01-14 19:49:34
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,187.214.43.115,MX,Morelos,LA JOYA,2023-06-03 22:35:42
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:88e3:8c0b:b375:8a0b:aa1d,MX,Morelos,CUAUTLA DE MORELOS,2023-05-02 23:13:07
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,187.214.42.19,MX,Morelos,JIUTEPEC,2023-02-02 04:07:54
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:9561:8c0b:b375:8a0b:aa1d,MX,Morelos,ALPUYECA,2023-05-21 01:09:06
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,187.214.43.10,MX,Morelos,CUAUTLA DE MORELOS,2023-03-31 21:32:22
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:a794:80:f653:3d32:6b5f,MX,Morelos,TEZOYUCA,2023-06-09 18:52:14
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:a709:8c0b:b375:8a0b:aa1d,MX,Morelos,LA JOYA,2023-04-18 00:10:49
